GRID_ID,CATEGORIA,ANO,MES,CRIMES,HISTORICO_1,PREVISAO_IA
6gtpx9,motorista,2024.0,6.0,2,2.0,2.17
6gtpxc,motorista,2024.0,3.0,1,0.0,1.17
6gtpxc,motorista,2024.0,4.0,2,1.0,1.6
6gtpxd,motorista,2023.0,4.0,1,0.0,1.09
6gtpxd,motorista,2023.0,6.0,1,1.0,1.57
6gtpxd,motorista,2024.0,1.0,1,1.0,2.33
6gtpxd,motorista,2024.0,4.0,1,1.0,1.6
6gtpxe,motorista,2023.0,5.0,1,0.0,1.1
6gtpxe,motorista,2024.0,3.0,1,1.0,1.69
6gtpxg,motorista,2023.0,4.0,1,0.0,1.09
6gtpxg,motorista,2024.0,3.0,1,1.0,1.69
6gtpxt,motorista,2023.0,4.0,1,0.0,1.09
6gtq4j,motorista,2024.0,4.0,1,0.0,1.09
6gtq4q,motorista,2024.0,1.0,1,0.0,1.98
6gtq4q,motorista,2024.0,2.0,1,1.0,1.68
6gtqrs,motorista,2023.0,2.0,1,0.0,1.23
6gtqrs,motorista,2024.0,5.0,1,1.0,1.61
6gtr28,motorista,2024.0,2.0,2,0.0,1.23
6gtr2p,motorista,2023.0,6.0,1,0.0,1.07
6gtr2r,motorista,2024.0,1.0,1,0.0,1.98
6gtr80,motorista,2024.0,6.0,1,0.0,1.07
6gtrgu,motorista,2023.0,1.0,1,0.0,1.98
6gtrgu,motorista,2024.0,1.0,1,1.0,2.33
6gtu3p,motorista,2024.0,2.0,1,0.0,1.23
6gtu3r,motorista,2023.0,5.0,1,0.0,1.1
6gtu3r,motorista,2024.0,1.0,1,1.0,2.33
6gtuj2,motorista,2023.0,1.0,1,0.0,1.98
6gtuj2,motorista,2023.0,3.0,1,1.0,1.69
6gtuj3,motorista,2023.0,5.0,1,0.0,1.1
6gtuwu,motorista,2024.0,2.0,1,0.0,1.23
6gtux6,motorista,2023.0,4.0,1,0.0,1.09
6gtuxh,motorista,2024.0,1.0,1,0.0,1.98
6gtuxh,motorista,2024.0,2.0,1,1.0,1.68
6gtuxh,motorista,2024.0,4.0,1,1.0,1.6
6gtuxh,pedestre,2024.0,2.0,1,0.0,1.23
6gtuxm,motorista,2023.0,2.0,1,0.0,1.23
6gtuxm,motorista,2023.0,3.0,1,1.0,1.69
6gtuxm,motorista,2024.0,3.0,1,1.0,1.69
6gtuxq,motorista,2024.0,5.0,1,0.0,1.1
6gtvm3,motorista,2022.0,3.0,1,0.0,1.17
6gtwgk,motorista,2023.0,6.0,1,0.0,1.07
6gtwgk,motorista,2024.0,1.0,1,1.0,2.33
